# <- this is a comment line
# First non-comment must be csv.header
#
# CSV style register definitions as defined in Sungrow
# Communication Protocol of Residential Hybrid Inverter V1.0.20
# and stolen from many different resources.
#
# 8.bit and 16-bit:Big Endian
# 32-bit: Little Endian (aka "wordswap")
#
# Hdr:
reg_type, reg_number, reg_name, reg_desc, measurement_unit, data_type, data_length, unit_id, scaling_factor, reserved
# column layout :
#    reg_type (h=holding,i=input),
#    address (decimal number, offset 1),
#    name ( = column name in mysql-table "details", translated to lc, should be unique),
#    description (optional, default = name ),
#    unit:      "kWH","W","A" etc.
#    data_type : U16 (unsigned short, default), U32 (unsigned int, word swap),
#                S16 (signed short), S32 (signed integer, word swap), CHR (char),
#    data_length: required for CHR otherwise derived from type
#    mb_unit: modbus unit id , default 1, Sungrow: 1,2,200 is possible, depends on inverter port (WiNet-S or Inv-LAN-Port)
#
#   All entries will be sorted by reg_type and address. Therefore holding regs will be read before
#   input regs.
#   Registers are bulked up to 120 registers per read request.
#
#i,2507,serial_number,"Seriennummer",,CHR,5,1,1,
#i,2515,device_type_code,"Inverter Typ",,U16,,1,1,
#i,2516,device_name,"WR-Bezeichnung",,CHR,8,,1,
#i,2582,arm_software_version,"ARM Software Version",,CHR,15,1,1,
#i,2597,msdp_software_version,"MSDP Software Version",,CHR,15,1,1,
#i,2612,sdsp_software_version,"SDSP Software Version",,CHR,15,1,1,
#i,2627,sbrbcu_software_version,"SBRBCU Software Version",,CHR,15,1,1,
#i,4950,protocol_number,"Protocol Number",,U32,,1,1,
#i,4952,protocol_version,"Protocol Version",,U32,,1,1,
#i,4954,arm_software_version,"ARM Software Version",,CHR,8,1,1,
#i,4969,dsp_software_version,"DSP Software Version",,CHR,8,1,1,
#i,4990,serial_number,"Seriennummer",,CHR,5,1,1,
#i,5000,device_type_code,"Inverter Typ",,U16,,1,1,
#i,5001,nominal_output_power,"Nominal output power",kW,U16,,1,0.1,
#i,5002,output_type,"Netztyp",,U16,,1,1,
# output_type = 1 = 3P4L, 0 = single phase, 2 - 3P3L (AU/NZ)
i,5003,daily_output_energy,"This day PV generation and battery discharge",kWh,U16,,1,0.1,
i,5004,total_output_energy,"Total PV generation and battery discharge",kWh,U32,,1,0.1,
i,5008,inside_temperature,"Inside Temperature","deg C",S16,,1,0.1,
i,5009,total_apparent_power,"Scheinleistung gesamt","VA",U32,,1,1,
i,5011,mppt1_voltage,"MPPT1 Voltage","V",U16,,1,0.1,
i,5012,mppt1_current,"MPPT1 Current","A",U16,,1,0.1,
i,5013,mppt2_voltage,"MPPT2 Voltage","V",U16,,1,0.1,
i,5014,mppt2_current,"MPPT2 Current","A",U16,,1,0.1,
# 5015 / 5016 mppt3_ ...
i,5017,total_PV_power,"PV Leistung gesamt",W,U32,,1,1,
i,5019,phase_a_voltage,"Phase A Voltage Inverter","V",U16,,1,0.1,
i,5020,phase_b_voltage,"Phase B Voltage Inverter","V",U16,,1,0.1,
i,5021,phase_c_voltage,"Phase C Voltage Inverter","V",U16,,1,0.1,
i,5031,total_DC_power,"DC Leistung PV + Batt.","W",S32,,1,1,
i,5033,reactive_power,"Reactive power","var",S32,,1,1,
i,5035,power_factor,"Power factor","",S16,,1,0.001,
i,5036,grid_frequency,"Grid frequency","Hz",U16,,1,0.1,
#i,5049,nominal_reactive_power,"Nominal reactive power","var",S32,,1,1,
#i,5071,array_insulation_resistance,"Array insulation resistance","k-Ohm",U16,,1,1,
# i,5114,present_country,"Country Information"
# Code Country Country (English) Note
# 0 GB Great Britain
# 1 DE Germany
# 2 FR France
# 3 IT Italy
# 4 ES Spain
# 5 AT Austria
# 6 AU Australia
# 7 CZ Czech
# 8 BE Belgium
# 9 DK Denmark
# 10 GR_L Greece Land
# 11 GR_IS Greece Island
# 12 NL Netherlands
# 25 Vorarlberg (Austria) Vorarlberg District
i,5601,meter_total_active_power,"Meter Active Power","W",S32,,1,1,
# i,5603,meter_active_power_1,"Meter Active Power Phase 1","W",S32,,1,1,
# i,5605,meter_active_power_2,"Meter Active Power Phase 2","W",S32,,1,1,
# i,5607,meter_active_power_3,"Meter Active Power Phase 3","W",S32,,1,1,
# i,5609,meter_daily_export_energy,"Meter Daily Export Energy","W",S16,,1,1,
# i,5622,export_limit_min,"Export limit min","W",U16,,1,10,
# i,5623,export_limit_max,"Export limit max","W",U16,,1,10,
# i,5628,BDC_rated_power,"BDC rated power","kW",U16,,1,0.1,
# i,5635,max_charging_current_BMS,"Max charging current (BMS)","A",U16,,1,1,
# i,5636,max_discharging_current_BMS,"Max discharging current (BMS)","A",U16,,1,1,
# current grid??
# AC Seite Inverter Backup Ausgang
# Strom L1,L2,L3=>5720,5721,5722
# Leistung L1,L2,L3,Gesamt=>5723,5724,5725,5726
# i,5741,phase_a_voltage_grid,"Phase A Voltage Grid","V",U16,,1,0.1,
# i,5742,phase_b_voltage_grid,"Phase B Voltage Grid","V",U16,,1,0.1,
# i,5743,phase_c_voltage_grid,"Phase C Voltage Grid","V",U16,,1,0.1,
# i,5744,phase_a_current_grid,"Phase A Current Grid","A",U16,,1,0.01,
# i,5745,phase_b_current_grid,"Phase B Current Grid","A",U16,,1,0.01,
# i,5746,phase_c_current_grid,"Phase C Current Grid","A",U16,,1,0.01,
i,5747,meter_total_import_energy,"Meter Total Import Energy","kWh",U32,,1,0.01
i,5749,meter_total_export_energy,"Meter Total Export Energy","kWh",U32,,1,0.01
############# periods - alles Mist
#i,6100,actual_PV_power,"Actual PV power (power of today)","W",U16,1,1,1,
#i,6196,this_day_PV_energy_yield,"This day PV energy yield","kWh",U16,1,1,0.1,
